,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_FWHM,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/speed_mean,logdir
55,1.0,1.0,35.70000000000059,0.009353915087165987,1.25,-0.049999999999998934,0.5491366969220661,1.168796410366483,1749058823,,False,1,f4cb3_00055,2025-06-04_18-40-23,9.860563278198242,9.860563278198242,3792578,cnl-brain9,155.198.99.250,9.860563278198242,1,0.2775,f4cb3_00055
56,1.0,1.0,33.630000000000514,0.009969127775332876,1.5,-0.049999999999998934,0.5707731483707525,1.1534051154626097,1749058822,,False,1,f4cb3_00056,2025-06-04_18-40-22,9.03035569190979,9.03035569190979,3792577,cnl-brain9,155.198.99.250,9.03035569190979,1,0.29500000000000004,f4cb3_00056
57,1.0,1.0,31.80000000000045,0.01109333211990604,1.25,-0.049999999999998934,0.5913207406620193,1.1381787128468484,1749058819,,False,1,f4cb3_00057,2025-06-04_18-40-19,6.662753582000732,6.662753582000732,3792576,cnl-brain9,155.198.99.250,6.662753582000732,1,0.3125,f4cb3_00057
58,1.0,1.0,30.27000000000039,0.01679279186187488,1.25,-0.049999999999998934,0.6186601534183342,1.1097838721729576,1749058822,,False,1,f4cb3_00058,2025-06-04_18-40-22,9.15428638458252,9.15428638458252,3792639,cnl-brain9,155.198.99.250,9.15428638458252,1,0.33,f4cb3_00058
59,1.0,1.0,28.740000000000332,0.018755763491787647,1.25,-0.049999999999998934,0.6444531571682433,1.0967019250207206,1749058819,,False,1,f4cb3_00059,2025-06-04_18-40-19,6.490189075469971,6.490189075469971,3792642,cnl-brain9,155.198.99.250,6.490189075469971,1,0.34750000000000003,f4cb3_00059
60,1.0,1.0,27.450000000000284,0.02281811314230664,1.25,-0.049999999999998934,0.671793413496871,1.0793598635442998,1749058822,,False,1,f4cb3_00060,2025-06-04_18-40-22,9.407507181167603,9.407507181167603,3792644,cnl-brain9,155.198.99.250,9.407507181167603,1,0.36500000000000005,f4cb3_00060
61,1.0,1.0,26.31000000000024,0.027505100219860967,1.25,0.05000000000000071,0.6973841622063772,1.0626140385186535,1749058819,,False,1,f4cb3_00061,2025-06-04_18-40-19,6.058793306350708,6.058793306350708,3792646,cnl-brain9,155.198.99.250,6.058793306350708,1,0.3825,f4cb3_00061
62,1.0,1.0,25.2600000000002,0.023823954479525344,1.25,-0.049999999999998934,0.7195501182136668,1.0681125607361228,1749058819,,False,1,f4cb3_00062,2025-06-04_18-40-19,6.006140947341919,6.006140947341919,3792647,cnl-brain9,155.198.99.250,6.006140947341919,1,0.4,f4cb3_00062
63,1.0,1.0,191.07000000000647,-0.026552499663757168,1.0,-0.049999999999998934,0.24107077243255715,1.3242584336568837,1749058846,,False,1,f4cb3_00063,2025-06-04_18-40-46,32.61264610290527,32.61264610290527,3792649,cnl-brain9,155.198.99.250,32.61264610290527,1,0.05,f4cb3_00063
64,1.0,1.0,141.9000000000046,-0.02243420615399838,1.25,-0.049999999999998934,0.2686248525035011,1.8683814311538638,1749058837,,False,1,f4cb3_00064,2025-06-04_18-40-37,23.963624000549316,23.963624000549316,3792653,cnl-brain9,155.198.99.250,23.963624000549316,1,0.0675,f4cb3_00064
