,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/speed_mean,logdir
63,1.0,1.0,80.64000000000229,-0.014366814249737736,1.25,-0.049999999999998934,0.3454212017291032,1.6860901398484673,1759200131,,False,1,f9692_00063,2025-09-30_03-42-11,22.80867338180542,22.80867338180542,3988936,cnl-brain9,155.198.99.250,22.80867338180542,1,0.1125,f9692_00063
64,1.0,1.0,78.69000000000221,-0.010179745820820596,1.0,-0.049999999999998934,0.34664584269672494,1.746320280188485,1759200130,,False,1,f9692_00064,2025-09-30_03-42-10,21.694746732711792,21.694746732711792,3988938,cnl-brain9,155.198.99.250,21.694746732711792,1,0.125,f9692_00064
65,1.0,1.0,65.82000000000173,-0.01355034775753916,1.25,-0.049999999999998934,0.3259532978810431,1.7156479116305776,1759200130,,False,1,f9692_00065,2025-09-30_03-42-10,21.43369722366333,21.43369722366333,3988900,cnl-brain9,155.198.99.250,21.43369722366333,1,0.1375,f9692_00065
66,1.0,1.0,66.66000000000176,-0.010270915094499955,1.25,-0.049999999999998934,0.3725752913655165,2.13316711935802,1759200130,,False,1,f9692_00066,2025-09-30_03-42-10,21.276719331741333,21.276719331741333,3988901,cnl-brain9,155.198.99.250,21.276719331741333,1,0.15000000000000002,f9692_00066
67,1.0,1.0,55.77000000000135,-0.006851361474626838,1.25,-0.049999999999998934,0.3788953591366888,2.022804078295509,1759200127,,False,1,f9692_00067,2025-09-30_03-42-07,18.08976912498474,18.08976912498474,3988931,cnl-brain9,155.198.99.250,18.08976912498474,1,0.1625,f9692_00067
68,1.0,1.0,63.66000000000165,0.0025907536073099813,1.25,-0.049999999999998934,0.4410895465797253,1.41034673359612,1759200126,,False,1,f9692_00068,2025-09-30_03-42-06,16.756505489349365,16.756505489349365,3988935,cnl-brain9,155.198.99.250,16.756505489349365,1,0.175,f9692_00068
69,1.0,1.0,49.92000000000113,-0.00841154763847829,1.25,-0.049999999999998934,0.39089511870525584,1.4247853472299428,1759200126,,False,1,f9692_00069,2025-09-30_03-42-06,16.721500635147095,16.721500635147095,3988898,cnl-brain9,155.198.99.250,16.721500635147095,1,0.1875,f9692_00069
70,1.0,1.0,48.150000000001064,-0.009452114366428788,1.25,-0.049999999999998934,0.41119013995993603,1.445714242125372,1759200125,,False,1,f9692_00070,2025-09-30_03-42-05,15.400633335113525,15.400633335113525,3988899,cnl-brain9,155.198.99.250,15.400633335113525,1,0.2,f9692_00070
71,1.0,1.0,42.42000000000085,-0.0034037366288952597,1.25,-0.049999999999998934,0.42797393179535526,1.1918376523439997,1759200121,,False,1,f9692_00071,2025-09-30_03-42-01,11.384216547012329,11.384216547012329,3988933,cnl-brain9,155.198.99.250,11.384216547012329,1,0.21250000000000002,f9692_00071
72,1.0,1.0,44.28000000000092,-0.008937070906640088,1.25,-0.049999999999998934,0.39688281952465276,1.5354848872408513,1759200123,,False,1,f9692_00072,2025-09-30_03-42-03,11.932650089263916,11.932650089263916,3988896,cnl-brain9,155.198.99.250,11.932650089263916,1,0.22500000000000003,f9692_00072
