,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/CA3_weight_ratio_pre_post_(single),metric/CA3_weight_ratio_pre_post_(reverse),metric/CA3_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/CA3_weight_peak_relative_position_(single),metric/CA3_weight_peak_relative_position_(reverse),metric/CA3_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/BTSP_lr_fact,config/inhibit_weight,config/regularization_alpha,logdir
32,1,1,1,1,1,1,5.099999999999979,24.639999999999564,50.700000000002326,1.296507110211852,0.8811937676444758,1.1265074995881352,0.007777560561736951,-0.04066190504016898,0.02920761382592796,0.08624999999999994,0.08624999999999994,-0.03875000000000006,1701705297,,False,1,5c4fa_00032,2023-12-04_15-54-57,15.384869813919067,15.384869813919067,499190,cnl-brain9,155.198.99.250,15.384869813919067,1,26.0,1.1,0.55,5c4fa_00032
33,1,1,1,1,1,1,5.199999999999977,24.41999999999957,43.080000000001135,1.5287696022379653,0.944566770034442,0.8019500176736543,0.02643584261346099,-0.03918073359945895,0.03585572290379191,0.08624999999999994,0.08624999999999994,0.023749999999999938,1701705293,,False,1,5c4fa_00033,2023-12-04_15-54-53,13.755721807479858,13.755721807479858,499187,cnl-brain9,155.198.99.250,13.755721807479858,1,29.0,1.1,0.55,5c4fa_00033
34,1,1,0,1,1,0,5.1799999999999775,23.91999999999958,,1.361577280861994,0.8829009184444713,0.8829009184444713,0.00982608786492245,-0.054596990720981675,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705295,,False,1,5c4fa_00034,2023-12-04_15-54-55,14.379400491714478,14.379400491714478,499193,cnl-brain9,155.198.99.250,14.379400491714478,1,32.0,1.1,0.55,5c4fa_00034
35,1,1,0,1,1,0,5.1799999999999775,24.39999999999957,,1.2044501040274735,0.8820578905729701,0.8820578905729701,0.004631147492550225,-0.030705011829749607,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705296,,False,1,5c4fa_00035,2023-12-04_15-54-56,21.52313756942749,21.52313756942749,499189,cnl-brain9,155.198.99.250,21.52313756942749,1,20.0,1.2,0.55,5c4fa_00035
36,1,1,0,1,1,0,5.159999999999978,24.41999999999957,,1.363863109474254,0.9774435025576789,0.9774435025576789,0.020766181701610265,-0.039869446341525006,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705297,,False,1,5c4fa_00036,2023-12-04_15-54-57,18.772553205490112,18.772553205490112,499198,cnl-brain9,155.198.99.250,18.772553205490112,1,23.0,1.2,0.55,5c4fa_00036
37,1,1,0,1,1,0,5.099999999999979,23.83999999999958,,1.3733925769448054,0.9288708250823791,0.9288708250823791,0.011506853572487707,-0.03828293907521185,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705294,,False,1,5c4fa_00037,2023-12-04_15-54-54,20.626792430877686,20.626792430877686,499197,cnl-brain9,155.198.99.250,20.626792430877686,1,26.0,1.2,0.55,5c4fa_00037
38,1,1,0,1,1,0,5.159999999999978,23.89999999999958,,1.3046857518520325,0.9021933377405609,0.9021933377405609,0.007887046396208186,-0.045548186138292035,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705297,,False,1,5c4fa_00038,2023-12-04_15-54-57,19.192456007003784,19.192456007003784,499199,cnl-brain9,155.198.99.250,19.192456007003784,1,29.0,1.2,0.55,5c4fa_00038
39,1,1,0,1,1,0,4.879999999999984,24.039999999999576,,1.4343748743949543,0.9203282401335507,0.9203282401335507,0.01180208041341968,-0.0448356398239087,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705294,,False,1,5c4fa_00039,2023-12-04_15-54-54,18.625693321228027,18.625693321228027,499200,cnl-brain9,155.198.99.250,18.625693321228027,1,32.0,1.2,0.55,5c4fa_00039
40,1,0,0,1,0,0,5.099999999999979,,,1.353049538595101,1.353049538595101,1.353049538595101,0.020544935386000773,,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705294,,False,1,5c4fa_00040,2023-12-04_15-54-54,14.163313150405884,14.163313150405884,499203,cnl-brain9,155.198.99.250,14.163313150405884,1,20.0,1.2999999999999998,0.55,5c4fa_00040
41,1,0,1,1,0,1,4.959999999999982,,50.5200000000023,1.324923911893107,1.324923911893107,0.9447180894924654,0.01087943417131032,,-0.02668662207385275,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705283,,False,1,5c4fa_00041,2023-12-04_15-54-43,10.327372312545776,10.327372312545776,499201,cnl-brain9,155.198.99.250,10.327372312545776,1,23.0,1.2999999999999998,0.55,5c4fa_00041
