,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/CA3_weight_ratio_pre_post_(single),metric/CA3_weight_ratio_pre_post_(reverse),metric/CA3_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/CA3_weight_peak_relative_position_(single),metric/CA3_weight_peak_relative_position_(reverse),metric/CA3_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
1098,1,1,1,1,1,1,78.4200000000022,215.6400000000074,419.2799999998604,4.5,4.0,3.5,1.1551141565066947,1.3763199810452067,1.533154964286537,0.08250716914158746,-0.08154976386507351,0.08412907516092671,0.19270833333333331,-0.22395833333333337,0.15104166666666663,1705274160,,False,1,c8ec7_01098,2024-01-14_23-16-00,25.026037216186523,25.026037216186523,79747,cnl-brain10,155.198.100.139,25.026037216186523,1,0.6499999999999999,150.0,3.0,c8ec7_01098
1099,1,1,1,1,1,1,80.37000000000228,252.90000000000882,421.34999999985854,4.5,4.25,3.5,1.1431072161696882,1.1541978374388235,1.7568016656280934,0.09053014314142954,-0.0898591751100104,0.09098888530034244,0.19270833333333331,-0.22395833333333337,0.15104166666666663,1705274159,,False,1,c8ec7_01099,2024-01-14_23-15-59,23.90042734146118,23.90042734146118,80101,cnl-brain10,155.198.100.139,23.90042734146118,1,0.7,150.0,3.0,c8ec7_01099
1100,1,1,2,1,1,2,79.14000000000223,253.53000000000884,384.59999999989196,5.0,4.5,3.75,0.6011986107764081,0.3896851033091345,1.8001394218706073,0.061398164761143126,-0.05502031288385345,0.05775077970730624,0.19270833333333331,-0.13020833333333337,-0.22395833333333337,1705274160,,False,1,c8ec7_01100,2024-01-14_23-16-00,24.462836265563965,24.462836265563965,80077,cnl-brain10,155.198.100.139,24.462836265563965,1,0.5,150.0,2.5,c8ec7_01100
1101,1,1,2,1,1,2,74.91000000000207,257.5800000000075,388.58999999988833,5.25,4.75,4.25,0.7807570697193518,0.3021417463734734,1.7553548437332445,0.06658806097911757,-0.0670113352065963,0.06848505705067365,0.19270833333333331,-0.13020833333333337,-0.22395833333333337,1705274160,,False,1,c8ec7_01101,2024-01-14_23-16-00,24.290260076522827,24.290260076522827,80074,cnl-brain10,155.198.100.139,24.290260076522827,1,0.55,150.0,2.5,c8ec7_01101
1102,1,1,1,1,1,1,78.1200000000022,215.10000000000738,417.83999999986173,5.5,5.25,4.75,1.2281987460826456,1.6539946741407434,1.4007051155844203,0.07495603680522006,-0.0734878389348379,0.08089480261794235,0.19270833333333331,-0.22395833333333337,0.15104166666666663,1705274161,,False,1,c8ec7_01102,2024-01-14_23-16-01,24.48940420150757,24.48940420150757,80093,cnl-brain10,155.198.100.139,24.48940420150757,1,0.6,150.0,2.5,c8ec7_01102
1103,1,1,1,1,1,1,80.16000000000227,251.70000000000877,417.26999999986225,5.75,5.5,4.75,0.9955090329288415,1.5668554116384146,1.3891678636587936,0.08723873929615344,-0.0830773053945677,0.0865199517021722,0.19270833333333331,-0.22395833333333337,0.15104166666666663,1705274161,,False,1,c8ec7_01103,2024-01-14_23-16-01,23.720765113830566,23.720765113830566,80086,cnl-brain10,155.198.100.139,23.720765113830566,1,0.6499999999999999,150.0,2.5,c8ec7_01103
1104,1,1,2,1,1,2,76.11000000000212,217.02000000000746,383.72999999989275,6.0,5.5,5.0,0.8178262553723799,1.4825038107784065,1.120369269771098,0.09201974945502359,-0.08989711446786253,0.08764109557859012,0.19270833333333331,-0.22395833333333337,-0.22395833333333337,1705274163,,False,1,c8ec7_01104,2024-01-14_23-16-03,25.01890516281128,25.01890516281128,80092,cnl-brain10,155.198.100.139,25.01890516281128,1,0.7,150.0,2.5,c8ec7_01104
1105,1,1,1,1,1,1,115.92000000000363,253.77000000000885,421.3799999998585,6.5,6.0,5.75,0.6106732219903226,0.39621156167431626,1.0950752102694632,0.05958762140008639,-0.06052890718206205,0.064022046712927,0.19270833333333331,-0.13020833333333337,0.15104166666666663,1705274163,,False,1,c8ec7_01105,2024-01-14_23-16-03,24.881280183792114,24.881280183792114,80090,cnl-brain10,155.198.100.139,24.881280183792114,1,0.5,150.0,2.0,c8ec7_01105
1106,1,1,1,1,1,1,78.75000000000222,251.19000000000875,420.32999999985947,7.0,6.25,6.0,0.7295792815518961,1.4278477676719536,1.3723221457761356,0.06964941669375824,-0.06607342321138854,0.07106153066262177,0.19270833333333331,-0.22395833333333337,0.15104166666666663,1705274163,,False,1,c8ec7_01106,2024-01-14_23-16-03,24.620354413986206,24.620354413986206,80081,cnl-brain10,155.198.100.139,24.620354413986206,1,0.55,150.0,2.0,c8ec7_01106
1107,1,1,1,1,1,1,79.89000000000226,215.8200000000074,420.0899999998597,7.25,6.75,6.0,0.8597545435248181,0.2842733374216202,1.4810451613131994,0.07777922902102757,-0.07680491011158752,0.07988481865808561,0.19270833333333331,-0.13020833333333337,0.15104166666666663,1705274163,,False,1,c8ec7_01107,2024-01-14_23-16-03,24.628171682357788,24.628171682357788,80083,cnl-brain10,155.198.100.139,24.628171682357788,1,0.6,150.0,2.0,c8ec7_01107
