,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
51,1,0,0,1,0,0,81.81000000000233,,,1.75,0.0,0.0,0.8560583550076936,0.8560583550076936,0.8560583550076936,-0.0014110681861454477,,,0.078125,0.078125,0.078125,1722393590,,False,1,09e20_00051,2024-07-31_03-39-50,24.271435022354126,24.271435022354126,62379,cnl-brain10,155.198.100.139,24.271435022354126,1,0.35,250.0,2.5,09e20_00051
52,1,1,0,1,1,0,82.32000000000235,220.14000000000757,,2.5,1.75,0.0,1.1106852674771301,1.100919284407064,1.100919284407064,0.03708408437337518,-0.08344452458969642,,0.078125,-0.109375,-0.109375,1722393590,,False,1,09e20_00052,2024-07-31_03-39-50,24.67842960357666,24.67842960357666,62501,cnl-brain10,155.198.100.139,24.67842960357666,1,0.4,250.0,2.5,09e20_00052
53,1,1,0,1,1,0,78.93000000000222,220.6200000000076,,3.0,2.5,0.0,1.3164242019024295,1.0009925635959622,1.0009925635959622,0.05202862163672889,-0.08331543727700896,,0.078125,-0.109375,-0.109375,1722393590,,False,1,09e20_00053,2024-07-31_03-39-50,24.347682237625122,24.347682237625122,62228,cnl-brain10,155.198.100.139,24.347682237625122,1,0.45,250.0,2.5,09e20_00053
54,2,1,0,2,1,0,79.65000000000225,218.70000000000752,,3.25,3.75,0.0,1.3908550594549396,1.116378094271853,1.116378094271853,0.06781334880788192,-0.0883340598597645,,0.078125,-0.109375,-0.109375,1722393590,,False,1,09e20_00054,2024-07-31_03-39-50,24.458853244781494,24.458853244781494,62035,cnl-brain10,155.198.100.139,24.458853244781494,1,0.5,250.0,2.5,09e20_00054
55,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393592,,False,1,09e20_00055,2024-07-31_03-39-52,25.486753702163696,25.486753702163696,62483,cnl-brain10,155.198.100.139,25.486753702163696,1,0.3,250.0,2.0,09e20_00055
56,1,0,0,1,0,0,80.70000000000229,,,2.5,0.0,0.0,0.9152736955943688,0.9152736955943688,0.9152736955943688,0.006973675868891194,,,0.078125,0.078125,0.078125,1722393592,,False,1,09e20_00056,2024-07-31_03-39-52,25.47934651374817,25.47934651374817,62529,cnl-brain10,155.198.100.139,25.47934651374817,1,0.35,250.0,2.0,09e20_00056
57,1,1,0,1,1,0,83.13000000000238,252.4800000000088,,3.5,3.75,0.0,1.097366526211064,1.1339720358940029,1.1339720358940029,0.03372954200025635,-0.07982581556672608,,0.078125,-0.109375,-0.109375,1722393589,,False,1,09e20_00057,2024-07-31_03-39-49,22.52640414237976,22.52640414237976,62294,cnl-brain10,155.198.100.139,22.52640414237976,1,0.4,250.0,2.0,09e20_00057
58,1,1,1,1,1,1,79.59000000000225,221.46000000000762,383.30999999989314,4.25,4.5,3.0,1.2092322400021422,1.205740954255589,1.0847147722027533,0.055935468951571254,-0.0850550352904409,0.06883388243944782,0.078125,-0.109375,0.078125,1722393593,,False,1,09e20_00058,2024-07-31_03-39-53,26.440526008605957,26.440526008605957,62127,cnl-brain10,155.198.100.139,26.440526008605957,1,0.45,250.0,2.0,09e20_00058
59,1,1,1,1,1,1,81.69000000000233,254.34000000000887,416.429999999863,5.0,5.5,2.75,1.4942708477377848,1.1379091291113286,1.2288785800467714,0.0665792429504854,-0.08822006356984036,0.07930056274258063,0.078125,-0.109375,0.078125,1722393594,,False,1,09e20_00059,2024-07-31_03-39-54,27.09042501449585,27.09042501449585,62526,cnl-brain10,155.198.100.139,27.09042501449585,1,0.5,250.0,2.0,09e20_00059
60,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393592,,False,1,09e20_00060,2024-07-31_03-39-52,25.187796354293823,25.187796354293823,62503,cnl-brain10,155.198.100.139,25.187796354293823,1,0.3,300.0,4.5,09e20_00060
61,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393591,,False,1,09e20_00061,2024-07-31_03-39-51,24.09465217590332,24.09465217590332,62173,cnl-brain10,155.198.100.139,24.09465217590332,1,0.35,300.0,4.5,09e20_00061
