,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,metric/max_normalization,metric/98th_percentile_firingrate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/proximal_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
23,0.0,0.0,,,0.75,,0.0,,,0.7496646010767429,1776479555,,False,1,c9cff_00023,2026-04-18_03-32-35,25.529338836669922,25.529338836669922,1583369,cnl-brain9,155.198.99.250,25.529338836669922,1,0.1,0.35000000000000003,2.0,c9cff_00023
24,0.0,0.0,,,0.75,,0.0,,,0.746989451783481,1776479555,,False,1,c9cff_00024,2026-04-18_03-32-35,25.5522403717041,25.5522403717041,1583364,cnl-brain9,155.198.99.250,25.5522403717041,1,0.1,0.4,2.0,c9cff_00024
25,9.0,2.0,59.01,0.007330559164914874,6.75,-0.049999999999998934,0.49982806107497346,4.0262565422415,1.243787386420525,6.601005075486321,1776479555,,False,1,c9cff_00025,2026-04-18_03-32-35,25.63980531692505,25.63980531692505,1583378,cnl-brain9,155.198.99.250,25.63980531692505,1,0.15,0.2,0.5,c9cff_00025
26,9.0,2.0,58.83,0.011242594412405715,6.5,-0.049999999999998934,0.4907093719887592,4.1596692601522225,1.2575131531796793,6.70959974797563,1776479555,,False,1,c9cff_00026,2026-04-18_03-32-35,25.528804779052734,25.528804779052734,1583381,cnl-brain9,155.198.99.250,25.528804779052734,1,0.15,0.25,0.5,c9cff_00026
27,9.0,2.0,58.89,0.016326587175556906,7.5,-0.14999999999999902,0.48589198794953425,1.2752864678112865,1.263961067017541,6.586444523834995,1776479554,,False,1,c9cff_00027,2026-04-18_03-32-34,24.84329104423523,24.84329104423523,1583367,cnl-brain9,155.198.99.250,24.84329104423523,1,0.15,0.30000000000000004,0.5,c9cff_00027
28,9.0,2.0,60.33,0.015043598344168352,7.0,-0.049999999999998934,0.49897881265361965,4.090134377566545,1.2591506497742038,6.561626195702187,1776479555,,False,1,c9cff_00028,2026-04-18_03-32-35,25.800885677337646,25.800885677337646,1583397,cnl-brain9,155.198.99.250,25.800885677337646,1,0.15,0.35000000000000003,0.5,c9cff_00028
29,9.0,2.0,58.89,0.01099075188387344,6.25,-0.14999999999999902,0.50111855587412,1.270559737368875,1.262054551942948,6.671862454600078,1776479555,,False,1,c9cff_00029,2026-04-18_03-32-35,25.4764142036438,25.4764142036438,1583391,cnl-brain9,155.198.99.250,25.4764142036438,1,0.15,0.4,0.5,c9cff_00029
30,1.0,1.0,58.32,0.013842902856192829,1.0,-0.049999999999998934,0.5325020328600676,1.208412755988788,0.7558085807205593,3.3105767240521295,1776479555,,False,1,c9cff_00030,2026-04-18_03-32-35,25.367351770401,25.367351770401,1583393,cnl-brain9,155.198.99.250,25.367351770401,1,0.15,0.2,0.875,c9cff_00030
31,2.0,1.0,59.52,0.024953032420583998,1.0,-0.049999999999998934,0.5552854365476683,1.2247671673613172,0.9044375860036981,4.395654880901465,1776479555,,False,1,c9cff_00031,2026-04-18_03-32-35,25.556678295135498,25.556678295135498,1583366,cnl-brain9,155.198.99.250,25.556678295135498,1,0.15,0.25,0.875,c9cff_00031
32,2.0,2.0,59.91,0.006320188239139046,1.5,-0.049999999999998934,0.5041659402244489,1.324591864008337,0.9231716403074615,3.4603192335945745,1776479582,,False,1,c9cff_00032,2026-04-18_03-33-02,25.053473472595215,25.053473472595215,1585865,cnl-brain9,155.198.99.250,25.053473472595215,1,0.15,0.30000000000000004,0.875,c9cff_00032
