,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/CA3_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/CA3_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
75,0,0,,0.0,,,,1705546065,,False,1,e826f_00075,2024-01-18_02-47-45,9.000033855438232,9.000033855438232,33711,cnl-brain10,155.198.100.139,9.000033855438232,1,0.3,300.0,3.0,e826f_00075
76,1,1,95.85000000000286,1.5,1.0029028298991642,-0.007443846026672585,0.046875,1705546065,,False,1,e826f_00076,2024-01-18_02-47-45,9.197067737579346,9.197067737579346,33728,cnl-brain10,155.198.100.139,9.197067737579346,1,0.35,300.0,3.0,e826f_00076
77,1,1,92.82000000000275,2.0,1.368924116460172,0.030534570570852848,0.046875,1705546066,,False,1,e826f_00077,2024-01-18_02-47-46,9.413246631622314,9.413246631622314,33826,cnl-brain10,155.198.100.139,9.413246631622314,1,0.4,300.0,3.0,e826f_00077
78,1,1,92.55000000000274,2.25,1.6308212835266356,0.053479157514726205,0.046875,1705546065,,False,1,e826f_00078,2024-01-18_02-47-45,8.24030590057373,8.24030590057373,33838,cnl-brain10,155.198.100.139,8.24030590057373,1,0.45,300.0,3.0,e826f_00078
79,2,2,93.90000000000279,2.25,0.8530492676944014,0.0703033961791939,0.140625,1705546065,,False,1,e826f_00079,2024-01-18_02-47-45,9.08100438117981,9.08100438117981,33696,cnl-brain10,155.198.100.139,9.08100438117981,1,0.5,300.0,3.0,e826f_00079
80,0,0,,0.0,,,,1705546066,,False,1,e826f_00080,2024-01-18_02-47-46,9.622673988342285,9.622673988342285,33828,cnl-brain10,155.198.100.139,9.622673988342285,1,0.3,300.0,2.5,e826f_00080
81,1,1,94.2000000000028,1.75,0.9916068132213562,-0.0011715589922742797,0.046875,1705546065,,False,1,e826f_00081,2024-01-18_02-47-45,8.840489625930786,8.840489625930786,33702,cnl-brain10,155.198.100.139,8.840489625930786,1,0.35,300.0,2.5,e826f_00081
82,1,1,92.25000000000273,2.5,1.5005227725676114,0.0340473586061214,0.046875,1705546066,,False,1,e826f_00082,2024-01-18_02-47-46,9.225556135177612,9.225556135177612,33836,cnl-brain10,155.198.100.139,9.225556135177612,1,0.4,300.0,2.5,e826f_00082
83,1,1,91.83000000000271,3.0,0.8286748145903792,0.053156653684530264,0.140625,1705546066,,False,1,e826f_00083,2024-01-18_02-47-46,9.389767408370972,9.389767408370972,33726,cnl-brain10,155.198.100.139,9.389767408370972,1,0.45,300.0,2.5,e826f_00083
84,2,2,91.17000000000269,3.25,0.8195634246585345,0.06979234092749143,0.140625,1705546066,,False,1,e826f_00084,2024-01-18_02-47-46,9.366183042526245,9.366183042526245,33835,cnl-brain10,155.198.100.139,9.366183042526245,1,0.5,300.0,2.5,e826f_00084
85,0,0,,0.0,,,,1705546066,,False,1,e826f_00085,2024-01-18_02-47-46,9.772202730178833,9.772202730178833,33694,cnl-brain10,155.198.100.139,9.772202730178833,1,0.3,300.0,2.0,e826f_00085
86,1,1,92.37000000000273,2.5,1.14908510172923,0.007546889466768736,0.046875,1705546066,,False,1,e826f_00086,2024-01-18_02-47-46,9.5114905834198,9.5114905834198,33714,cnl-brain10,155.198.100.139,9.5114905834198,1,0.35,300.0,2.0,e826f_00086
