,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/CA3_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/CA3_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr_fact,config/inhibit_weight,config/soma_regularization_alpha,logdir
51,5,1,9.659999999999986,1.75,0.7385740284027715,-0.03259411271996171,0.359375,1704997846,,False,1,85ac0_00051,2024-01-11_18-30-46,1.7514643669128418,1.7514643669128418,77080,cnl-brain10,155.198.100.139,1.7514643669128418,1,100.0,2.75,0.9,85ac0_00051
52,5,1,9.719999999999985,1.75,0.7358170198872969,-0.047272437106973264,0.359375,1704997846,,False,1,85ac0_00052,2024-01-11_18-30-46,1.691009283065796,1.691009283065796,77079,cnl-brain10,155.198.100.139,1.691009283065796,1,100.0,3.0,0.9,85ac0_00052
53,5,1,9.989999999999979,1.75,0.6472407849464801,-0.044130141816734025,0.359375,1704997846,,False,1,85ac0_00053,2024-01-11_18-30-46,1.6352388858795166,1.6352388858795166,77081,cnl-brain10,155.198.100.139,1.6352388858795166,1,100.0,3.25,0.9,85ac0_00053
54,5,2,9.689999999999985,1.5,0.7832173297306044,-0.0779263841343174,0.359375,1704997846,,False,1,85ac0_00054,2024-01-11_18-30-46,1.5966129302978516,1.5966129302978516,77082,cnl-brain10,155.198.100.139,1.5966129302978516,1,100.0,3.5,0.9,85ac0_00054
55,5,1,10.109999999999976,1.75,0.7553221520329988,-0.035036769191204575,0.359375,1704997846,,False,1,85ac0_00055,2024-01-11_18-30-46,1.691770315170288,1.691770315170288,77083,cnl-brain10,155.198.100.139,1.691770315170288,1,125.0,2.5,0.9,85ac0_00055
56,5,1,9.92999999999998,1.75,0.7223434731753706,-0.02756457468547635,0.359375,1704997846,,False,1,85ac0_00056,2024-01-11_18-30-46,1.6758897304534912,1.6758897304534912,77084,cnl-brain10,155.198.100.139,1.6758897304534912,1,125.0,2.75,0.9,85ac0_00056
57,5,1,9.869999999999981,1.75,0.687751909984414,-0.04513396541623438,0.359375,1704997846,,False,1,85ac0_00057,2024-01-11_18-30-46,1.72044038772583,1.72044038772583,77087,cnl-brain10,155.198.100.139,1.72044038772583,1,125.0,3.0,0.9,85ac0_00057
58,5,2,9.839999999999982,1.75,0.6945587128474842,-0.06506031202163587,0.359375,1704997846,,False,1,85ac0_00058,2024-01-11_18-30-46,1.7193691730499268,1.7193691730499268,77086,cnl-brain10,155.198.100.139,1.7193691730499268,1,125.0,3.25,0.9,85ac0_00058
59,5,2,9.839999999999982,1.5,0.7459792868382826,-0.0435448233061978,0.359375,1704997846,,False,1,85ac0_00059,2024-01-11_18-30-46,1.6817469596862793,1.6817469596862793,77085,cnl-brain10,155.198.100.139,1.6817469596862793,1,125.0,3.5,0.9,85ac0_00059
60,5,1,10.319999999999972,1.75,0.7006244994227475,-0.04872208511668996,0.359375,1704997847,,False,1,85ac0_00060,2024-01-11_18-30-47,1.4729549884796143,1.4729549884796143,76712,cnl-brain10,155.198.100.139,1.4729549884796143,1,150.0,2.5,0.9,85ac0_00060
61,5,2,9.839999999999982,1.75,0.6774031646560955,-0.05349348127495401,0.359375,1704997847,,False,1,85ac0_00061,2024-01-11_18-30-47,1.3954753875732422,1.3954753875732422,76658,cnl-brain10,155.198.100.139,1.3954753875732422,1,150.0,2.75,0.9,85ac0_00061
62,5,2,10.079999999999977,1.75,0.7368568552508388,-0.046658924840876526,0.359375,1704997847,,False,1,85ac0_00062,2024-01-11_18-30-47,1.543696641921997,1.543696641921997,76802,cnl-brain10,155.198.100.139,1.543696641921997,1,150.0,3.0,0.9,85ac0_00062
